time	I1	I2	I3
0.022288463	0.8167847	-0.9619069	0.1618464
0.022353444	0.8119293	-0.9624464	0.1138319
0.022418425	0.8464565	-0.9209058	0.110595
0.022483406	0.8486145	-0.915511	0.07229137
0.022548387	0.8707335	-0.8874576	0.05718572
0.022613368	0.8766679	-0.8777468	0.02319798
0.022678348	0.8799047	-0.870194	-0.01618464
0.022743329	0.9074186	-0.8318903	-0.02859286
0.02280831	0.9074186	-0.823798	-0.0712124
0.022873291	0.9187478	-0.8032974	-0.09980527
0.022938272	0.934393	-0.7811784	-0.1251612
0.023003253	0.9360114	-0.7720072	-0.1661623
0.023068234	0.9678413	-0.7347825	-0.1818074
0.023133215	0.9678413	-0.7299271	-0.2271244
0.023198196	0.9861839	-0.7072686	-0.2540988
0.023263177	0.999671	-0.6905445	-0.2875471
0.023328158	1.005066	-0.6846101	-0.3280087
0.023393139	1.037435	-0.647925	-0.3409563
0.02345812	1.042291	-0.6430696	-0.3851943
0.023523101	1.061173	-0.6220295	-0.4143267
0.023588082	1.078976	-0.6042264	-0.4493934
0.023653063	1.083831	-0.601529	-0.4968683
0.023718044	1.121595	-0.5664623	-0.5081976
0.023783024	1.128609	-0.5643043	-0.5491987
0.023848005	1.137241	-0.5567515	-0.5858839
0.023912986	1.162057	-0.5303166	-0.6031474
0.023977967	1.165833	-0.5222242	-0.6344377
0.024042948	1.182557	-0.4903945	-0.6430696
0.024107929	1.174465	-0.4844601	-0.6743599
0.02417291	1.154504	-0.4855391	-0.7099661
0.024237891	1.173386	-0.4364457	-0.6991763
0.024302872	1.156662	-0.4186426	-0.7234533
0.024367853	1.152346	-0.3851943	-0.7320851
0.024432834	1.136701	-0.3625358	-0.7504277
0.024497815	1.114043	-0.3474302	-0.7768626
0.024562796	1.118898	-0.2999552	-0.7703887
0.024627777	1.094081	-0.2843101	-0.7968236
0.024692758	1.080055	-0.2567962	-0.8076134
0.024757739	1.068186	-0.224427	-0.8146267
0.02482272	1.037975	-0.2098608	-0.8394431
0.0248877	1.040133	-0.1613069	-0.825956
0.024952681	1.009382	-0.1467407	-0.8464565
0.025017662	0.981868	-0.1321745	-0.8642595
0.025082643	0.978631	-0.09009447	-0.8577857
0.025147624	0.9554331	-0.0712124	-0.8755888
0.025212605	0.9543541	-0.02751388	-0.8718125
0.025277586	0.9284586	-0.01618464	-0.8966289
0.025342567	0.8982474	-0.007013342	-0.9263007
0.025407548	0.9084976	0.0399221	-0.9149715
0.025472529	0.8879971	0.05880418	-0.9349325
0.02553751	0.8885366	0.09926578	-0.9338535
0.025602491	0.8594042	0.1154504	-0.9570515
0.025667472	0.824877	0.1273191	-0.9867234
0.025732453	0.8291929	0.1785705	-0.9737756
0.025797434	0.803837	0.2017685	-0.9921182
0.025862415	0.7979025	0.2449275	-0.9926577
0.025927396	0.7682307	0.2638096	-1.017474
0.025992376	0.735322	0.2794547	-1.046606
0.026057357	0.7396379	0.3307061	-1.040672
0.026122338	0.7142819	0.3501276	-1.066568
0.026187319	0.7185978	0.3997605	-1.062252
0.0262523	0.690005	0.4137872	-1.090845
0.026317281	0.6711229	0.4402221	-1.112963
0.026382262	0.666807	0.4801442	-1.120516
0.026447243	0.6371352	0.4963289	-1.155044
0.026512224	0.6468459	0.5491987	-1.150188
0.026577205	0.623648	0.5670018	-1.1804
0.026642186	0.6171741	0.6009895	-1.192808
0.026707167	0.602608	0.6263455	-1.207913
0.026772148	0.5653833	0.6274244	-1.247296
0.026837129	0.5788705	0.6802942	-1.220861
0.02690211	0.5475802	0.6862286	-1.238664
0.026967091	0.5486592	0.7245322	-1.212769
0.027032072	0.511974	0.7223743	-1.219782
0.027097052	0.4763678	0.7191373	-1.224638
0.027162033	0.4715124	0.7515066	-1.191729
0.027227014	0.4315903	0.7504277	-1.192268
0.027291995	0.4267349	0.7849548	-1.154504
0.027356976	0.3841154	0.7827969	-1.154504
0.027421957	0.3452722	0.7854943	-1.149649
0.027486938	0.3334035	0.8119293	-1.118358
0.027551919	0.2950999	0.8124688	-1.113503
0.0276169	0.2848496	0.8426801	-1.078976
0.027681881	0.2449275	0.8399826	-1.073041
0.027746862	0.1985316	0.8275744	-1.077897
0.027811843	0.1996105	0.8631806	-1.029882
0.027876824	0.1607674	0.8561673	-1.029343
0.027941805	0.1467407	0.8755888	-0.999671
0.028006786	0.1186873	0.8831417	-0.9845654
0.028071767	0.07390984	0.8755888	-0.9878023
0.028136748	0.07229137	0.913353	-0.9468012
0.028201728	0.03614569	0.9149715	-0.9451827
0.028266709	0.003776415	0.9230638	-0.9349325
0.02833169	-0.01240822	0.9451827	-0.9095766
0.028396671	-0.05286981	0.9435643	-0.9079581
0.028461652	-0.06096213	0.9764731	-0.8691149
0.028526633	-0.1052001	0.9732361	-0.8599437
0.028591614	-0.1515961	0.9667623	-0.8561673
0.028656595	-0.1607674	0.999671	-0.8119293
0.028721576	-0.201229	1.002368	-0.801679
0.028786557	-0.2136372	1.033659	-0.7612174
0.028851538	-0.2594937	1.03258	-0.759599
0.028916519	-0.3161399	1.018553	-0.7720072
0.0289815	-0.3161399	1.065489	-0.7191373
0.029046481	-0.3598384	1.068725	-0.71644
0.029111462	-0.3797995	1.093002	-0.6905445
0.029176443	-0.4132477	1.10595	-0.6797547
0.029241424	-0.4585647	1.108108	-0.6759783
0.029306404	-0.467736	1.145333	-0.6398326
0.029371385	-0.5092766	1.144793	-0.6349772
0.029436366	-0.5335535	1.156662	-0.6150162
0.029501347	-0.5535145	1.163675	-0.5923577
0.029566328	-0.5928972	1.149649	-0.5848049
0.029631309	-0.5918182	1.171768	-0.5367904
0.02969629	-0.6241875	1.152346	-0.5238428
0.029761271	-0.6517014	1.132385	-0.5092766
0.029826252	-0.6495434	1.139938	-0.4671965
0.029891233	-0.6711229	1.121595	-0.4537093
0.029956214	-0.6641096	1.130227	-0.4121687
0.030021195	-0.6894655	1.103792	-0.4040764
0.030086176	-0.7299271	1.06441	-0.4078529
0.030151157	-0.7105056	1.08491	-0.3463512
