time	I1	I2	I3		
0.0116300363	0.9327745	-0.01510566	-0.9058002		
0.0116950086	0.9047212	-0.002157951	-0.9306166		
0.0117599809	0.9090371	0.04261954	-0.9192873		
0.0118249532	0.8847601	0.05826469	-0.9414063		
0.0118899254	0.8734308	0.0890155	-0.9484197		
0.0119548977	0.8577857	0.1159899	-0.9624464		
0.0120198700	0.8264955	0.1262402	-0.9969736		
0.0120848422	0.8324298	0.1785705	-0.9829469		
0.0121498145	0.8043765	0.1936761	-1.013698		
0.0122147868	0.8086923	0.244388	-1.003987		
0.0122797590	0.7800995	0.2605726	-1.033119		
0.0123447313	0.7509671	0.2756783	-1.059554		
0.0124097036	0.7498882	0.3242322	-1.054699		
0.0124746759	0.7196768	0.3431143	-1.081673		
0.0125396481	0.7191373	0.3927472	-1.076818		
0.0126046204	0.693242	0.4132477	-1.101095		
0.0126695927	0.6797547	0.4504724	-1.112963		
0.0127345649	0.6624911	0.4806837	-1.132925		
0.0127995372	0.6279639	0.4936314	-1.174465		
0.0128645095	0.6392931	0.5524356	-1.166373		
0.0129294817	0.6214901	0.5718572	-1.194966		
0.0129944540	0.625806	0.6144767	-1.197663		
0.0130594263	0.6047659	0.6295823	-1.225716		
0.0131243986	0.5934367	0.6511619	-1.242441		
0.0131893708	0.5858839	0.6786758	-1.246217		
0.0132543431	0.5540541	0.6819127	-1.262941		
0.0133193154	0.5502777	0.7212954	-1.233269		
0.0133842876	0.5157504	0.7245322	-1.233809		
0.0134492599	0.4930919	0.7450328	-1.217624		
0.0135142322	0.465578	0.759599	-1.207913		
0.0135792044	0.4261954	0.7569015	-1.212229		
0.0136441767	0.4202611	0.7935867	-1.173926		
0.0137091490	0.3851943	0.7941262	-1.172847		
0.0137741213	0.3598384	0.804916	-1.15882		
0.0138390935	0.3366404	0.8178636	-1.134543		
0.0139040658	0.2983368	0.8119293	-1.131846		
0.0139690381	0.290784	0.8464565	-1.089226		
0.0140340103	0.2497829	0.8426801	-1.085989		
0.0140989826	0.2130977	0.8432196	-1.076278		
0.0141639549	0.1969131	0.8691149	-1.040672		
0.0142289271	0.1591489	0.866957	-1.035277		
0.0142938994	0.1483592	0.893392	-0.999671		
0.0143588717	0.110595	0.891234	-0.9931972		
0.0144238440	0.07175189	0.8874576	-0.9915787		
0.0144888162	0.06419906	0.915511	-0.9570515		
0.0145537885	0.02967183	0.9160504	-0.9516566		
0.0146187608	0.02157952	0.9441038	-0.9171294		
0.0146837330	-0.01456617	0.9387089	-0.915511		
0.0147487053	-0.05233033	0.9376299	-0.915511		
0.0148136776	-0.06258059	0.9678413	-0.8799047		
0.0148786498	-0.1025027	0.9667623	-0.8761284		
0.0149436221	-0.1159899	0.9991316	-0.8394431		
0.0150085944	-0.156991	1.000211	-0.8335088		
0.0150735667	-0.1936761	1.006684	-0.8243375		
0.0151385389	-0.2130977	1.030961	-0.7946657		
0.0152035112	-0.2573357	1.030422	-0.7925076		
0.0152684835	-0.268665	1.064949	-0.7504277		
0.0153334557	-0.312903	1.06441	-0.7439538		
0.0153984280	-0.3441933	1.077357	-0.7250717		
0.0154634003	-0.3711677	1.094081	-0.7029527		
0.0155283725	-0.4170241	1.093542	-0.7018737		
0.0155933448	-0.4305113	1.130227	-0.6597937		
0.0156583171	-0.4698939	1.137241	-0.6570963		
0.0157232894	-0.4968683	1.157202	-0.6371352		
0.0157882616	-0.5260007	1.16961	-0.6231085		
0.0158532339	-0.5583699	1.167452	-0.6193321		
0.0159182062	-0.5643043	1.187413	-0.5842654		
0.0159831784	-0.5945156	1.172847	-0.5691597		
0.0160481507	-0.6069239	1.170689	-0.5400274		
0.0161131230	-0.624727	1.161517	-0.5168294		
0.0161780952	-0.6533198	1.139938	-0.5044212		
0.0162430675	-0.6527804	1.145333	-0.4596437		
0.0163080398	-0.6748993	1.125911	-0.4434591		
0.0163730121	-0.6851496	1.121056	-0.4143267		
0.0164379843	-0.7002553	1.107029	-0.3895102		
0.0165029566	-0.7218348	1.082752	-0.3717072		
0.0165679289	-0.7207558	1.08491	-0.3269297		
0.0166329011	-0.7407169	1.056857	-0.3080476		
0.0166978734	-0.7477302	1.04283	-0.2756783		
