time	I1	I2	I3	
0.0277448812	1.608753	0.2174136	-1.814837	
0.0278098575	1.602818	0.2319798	-1.824008	
0.0278748338	1.596345	0.2470855	-1.829404	
0.0279398101	1.583936	0.2616516	-1.834259	
0.0280047864	1.572068	0.2756783	-1.836956	
0.0280697627	1.558041	0.289705	-1.835338	
0.0281347390	1.542396	0.3015737	-1.834798	
0.0281997153	1.528369	0.3150609	-1.833719	
0.0282646916	1.51704	0.3253112	-1.83318	
0.0283296679	1.507869	0.3371799	-1.837496	
0.0283946442	1.503553	0.3479697	-1.840193	
0.0284596205	1.498697	0.3555225	-1.844509	
0.0285245968	1.493842	0.3630753	-1.849904	
0.0285895731	1.489526	0.3695492	-1.852062	
0.0286545494	1.483592	0.3765625	-1.85368	
0.0287195257	1.475499	0.3846548	-1.85368	
0.0287845020	1.46417	0.3970631	-1.852601	
0.0288494783	1.448525	0.4078529	-1.850443	
0.0289144546	1.43234	0.4197216	-1.847206	
0.0289794309	1.416695	0.4321298	-1.842891	
0.0290444072	1.40105	0.4429196	-1.839114	
0.0291093835	1.388642	0.4564067	-1.837496	
0.0291743598	1.375694	0.4682755	-1.837496	
0.0292393361	1.363825	0.4796048	-1.840193	
0.0293043124	1.351957	0.489855	-1.840193	
0.0293692887	1.341706	0.4990263	-1.839654	
0.0294342650	1.331996	0.5081976	-1.837496	
0.0294992413	1.323903	0.5173689	-1.838035	
0.0295642176	1.314193	0.5243822	-1.838575	
0.0296291939	1.302863	0.534093	-1.835877	
0.0296941702	1.288836	0.5411063	-1.831022	
0.0297591465	1.275889	0.5470407	-1.823469	
0.0298241229	1.260783	0.5502777	-1.8116	
0.0298890992	1.240822	0.5518961	-1.797574	
0.0299540755	1.218164	0.5524356	-1.775455	
0.0300190518	1.192808	0.5518961	-1.747941	
0.0300840281	1.167991	0.5502777	-1.719887	
0.0301490044	1.139398	0.5465012	-1.687518	
0.0302139807	1.109187	0.5411063	-1.651372	
0.0302789570	1.078976	0.5367904	-1.616306	
0.0303439333	1.045527	0.5330141	-1.57962	
0.0304089096	1.007763	0.5313956	-1.541856	
0.0304738859	0.9726967	0.5292376	-1.501934	
0.0305388622	0.9360114	0.5276191	-1.463631	
0.0306038385	0.9004053	0.5254612	-1.424248	
0.0306688148	0.8637201	0.5233032	-1.386484	
0.0307337911	0.8297324	0.5184479	-1.349259	
0.0307987674	0.7952051	0.514132	-1.313114	
0.0308637437	0.7606779	0.5114345	-1.27427	
0.0309287200	0.7250717	0.5076581	-1.237046	
0.0309936963	0.6916234	0.5044212	-1.199282	
0.0310586726	0.6554778	0.4990263	-1.162596	
0.0311236489	0.6209506	0.4974078	-1.125372	
0.0311886252	0.5853444	0.4957893	-1.089226	
0.0312536015	0.5491987	0.4979473	-1.052001	
0.0313185778	0.511974	0.4984868	-1.014777	
0.0313835541	0.4752888	0.4974078	-0.9775521	
0.0314485304	0.4396826	0.4974078	-0.9419459	
0.0315135067	0.4029975	0.4974078	-0.9063396	
0.0315784830	0.3673913	0.4963289	-0.871273	
0.0316434593	0.332864	0.4963289	-0.8356667	
0.0317084356	0.2977973	0.4963289	-0.8000606	
0.0317734119	0.2632701	0.4974078	-0.7639148	
0.0318383882	0.2282034	0.4957893	-0.7272297	
0.0319033645	0.1882813	0.4963289	-0.688926	
0.0319683408	0.1488987	0.4968683	-0.6527804	
0.0320333171	0.1111345	0.4984868	-0.6160952	
0.0320982934	0.07175189	0.5028027	-0.5810285	
0.0321632697	0.03182979	0.5076581	-0.5454223	
0.0322282460	-0.009710782	0.5125135	-0.5103555	
0.0322932223	-0.05017237	0.5184479	-0.4758283	
0.0323581986	-0.0890155	0.5233032	-0.4413011	
0.0324231750	-0.1251612	0.5254612	-0.4083923	
